feature,importance
numeric__atemp,0.16254890682466558
categorical__hr_17,0.10162019007143608
numeric__yr,0.08889848419068207
categorical__hr_18,0.08646594103534376
numeric__hum,0.07107760833106927
categorical__hr_8,0.0640351950446606
numeric__temp,0.05866248218254188
categorical__workingday_1,0.048316192286753684
categorical__workingday_0,0.04750760672443227
categorical__hr_19,0.03014716638503121
categorical__hr_7,0.015072531807096733
categorical__hr_2,0.015018004765076117
categorical__hr_16,0.014768655422737056
categorical__hr_4,0.014482760564040917
categorical__hr_1,0.014067442798823151
categorical__hr_3,0.013739013263200163
categorical__hr_0,0.012921825629849604
categorical__hr_5,0.011808038778582455
categorical__season_1,0.01168700311993232
categorical__hr_9,0.010566473261343154
categorical__season_4,0.010382537784739743
numeric__windspeed,0.010107557652819989
categorical__hr_20,0.009159111407882399
categorical__hr_23,0.008286849227070209
categorical__weathersit_3,0.008127871870653705
categorical__hr_6,0.00587047723732717
categorical__hr_12,0.0038459089653046933
categorical__weekday_6,0.003543117349340775
categorical__weekday_5,0.003308466942006497
categorical__hr_10,0.00314461844752848
categorical__hr_13,0.0029660692984459806
categorical__hr_22,0.002546322139250932
categorical__weekday_0,0.0025085309456010663
categorical__hr_11,0.0024748043954467072
categorical__hr_21,0.0024360564997619517
categorical__mnth_10,0.002172572710522825
categorical__mnth_7,0.002095942948646183
categorical__weathersit_1,0.0020857448833492636
categorical__mnth_12,0.0019516210670872114
categorical__mnth_9,0.0017488630602427967
categorical__hr_15,0.0017104795123122477
categorical__hr_14,0.0016464548534930303
categorical__season_3,0.0016432064822549037
categorical__season_2,0.0012324481087918895
categorical__weathersit_2,0.0012001524780467588
categorical__mnth_6,0.001131247875695146
categorical__weekday_1,0.0011207130151006915
categorical__mnth_11,0.0010604944134726133
categorical__mnth_4,0.0010471654649209467
categorical__mnth_5,0.001034487525169641
categorical__mnth_3,0.0008170764252009935
categorical__weekday_4,0.0007083309236145175
categorical__weekday_2,0.000699613998756945
categorical__weekday_3,0.0006637029810437614
categorical__mnth_8,0.0005870856707032567
categorical__holiday_0,0.00046604275716235127
categorical__holiday_1,0.0004416543213423915
categorical__mnth_1,0.0003329095016629617
categorical__mnth_2,0.0002821663709283256
categorical__weathersit_4,0.0
